NAMES,TICKER,ABOUT
Humana,HUM,"Humana Inc. is a for-profit American health insurance company based in Louisville, Kentucky. As of 2014 Humana had over 13 million customers in the U.S., reported a 2013 revenue of US$41.3 billion, and had 51,600 employees. In 2018, the company ranked 56 on the Fortune 500 list, which made it the highest ranked (by revenues) company based in Kentucky. It has been the third largest health insurance in the nation.The U.S. Dept. of Health and Human Services investigated Humana in 2009 for sending flyers to Medicare recipients that the AARP characterized as deceptive. The company's managed care model has also been criticized for ethical lapses and limitations.
The health insurer Aetna said on July 3, 2015, that it had agreed to acquire its smaller rival Humana for $37 billion in cash and stock but walked away from the deal after a court ruling that the merger would be anti-competitive."
Accenture,ACN,"Accenture plc (stylised as accent͐ure) is a multinational professional services company that provides services in strategy, consulting, digital, technology and operations. A Fortune Global 500 company, it has been incorporated in Dublin, Ireland since September 1st, 2009. In 2018, the company reported net revenues of $39.6 billion, with more than 459,000 employees serving clients in more than 200 cities in 120 countries. In 2015, the company had about 150,000 employees in India, 48,000 in the US, and 50,000 in the Philippines. Accenture's current clients include 92 of the Fortune Global 100 and more than three-quarters of the Fortune Global 500.On July 11, 2019, Accenture appointed Julie Sweet as their new Chief Executive Officer. She accepted her office on September 1, 2019."
AT&T,T,"AT&T Inc. is an American multinational conglomerate holding company headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world's largest telecommunications company, the largest provider of mobile telephone services, and the largest provider of fixed telephone services in the United States through AT&T Communications. Since June 14, 2018, it is also the parent company of mass media conglomerate WarnerMedia, making it the world's largest media and entertainment company in terms of revenue. As of 2018, AT&T is ranked #9 on the Fortune 500 rankings of the largest United States corporations by total revenue.AT&T began its history as Southwestern Bell Telephone Company, a subsidiary of the Bell Telephone Company, founded by Alexander Graham Bell in 1877. The Bell Telephone Company evolved into American Telephone and Telegraph Company in 1885, which later rebranded as AT&T Corporation. The 1982 United States v. AT&T antitrust lawsuit resulted in the divestiture of AT&T Corporation's (""Ma Bell"") subsidiaries or Regional Bell Operating Companies (RBOCs), commonly referred to as  ""Baby Bells"", resulting in several independent companies, including Southwestern Bell Corporation; the latter changed its name to SBC Communications Inc. in 1995. In 2005, SBC purchased its former parent AT&T Corporation and took on its branding, with the merged entity naming itself AT&T Inc. and using its iconic logo and stock-trading symbol. In 2006, AT&T Inc. acquired BellSouth, the last independent Baby Bell company, making their formerly joint venture Cingular Wireless (which had acquired AT&T Wireless in 2004) wholly owned and rebranding it as AT&T Mobility.
The current AT&T reconstitutes much of the former Bell System, and includes ten of the original 22 Bell Operating Companies along with the original long distance division."
General Motors,GM,"General Motors Company, commonly referred to as General Motors (GM), is an American multinational corporation headquartered in Detroit that designs, manufactures, markets, and distributes vehicles and vehicle parts, and sells financial services, with global headquarters in Detroit's Renaissance Center. It was originally founded by William C. Durant on September 16, 1908 as a holding company. The company is the largest American automobile manufacturer, and one of the world's largest. As of 2018, General Motors is ranked #10 on the Fortune 500 rankings of the largest United States corporations by total revenue. GM is incorporated in Delaware.General Motors manufactures vehicles in 37 countries; its core automobile brands include Chevrolet, Buick, GMC, and Cadillac. It also either owns or holds a significant stake in foreign brands such as Holden, Wuling, Baojun, and Jiefang. Annual worldwide sales volume reached a milestone of 10 million vehicles in 2016."
General Mills,GIS,"General Mills, Inc., is an American multinational manufacturer and marketer of branded consumer foods sold through retail stores. It is headquartered in Golden Valley, Minnesota, a suburb of Minneapolis.  The company markets many well-known North American brands, including Gold Medal flour, Annie's Homegrown, Betty Crocker, Yoplait, Colombo, Totino's, Pillsbury, Old El Paso, Häagen-Dazs, Cheerios, Trix, Cocoa Puffs, and Lucky Charms. Its brand portfolio includes more than 89 other leading U.S. brands and numerous category leaders around the world."
Apple,AAPL,"An apple is a sweet, edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus. The tree originated in Central Asia, where its wild ancestor, Malus sieversii, is still found today. Apples have been grown for thousands of years in Asia and Europe and were brought to North America by European colonists. Apples have religious and mythological significance in many cultures, including Norse, Greek and European Christian traditions.
Apple trees are large if grown from seed.  Generally, apple cultivars are propagated by grafting onto rootstocks, which control the size of the resulting tree. There are more than 7,500 known cultivars of apples, resulting in a range of desired characteristics. Different cultivars are bred for various tastes and use, including cooking, eating raw and cider production. Trees and fruit are prone to a number of fungal, bacterial and pest problems, which can be controlled by a number of organic and non-organic means. In 2010, the fruit's genome was sequenced as part of research on disease control and selective breeding in apple production.
Worldwide production of apples in 2017 was 83.1 million tonnes, with China accounting for half of the total."
Kimberly Clark,KMB,"Kimberly-Clark Corporation is an American multinational personal care corporation that produces mostly paper-based consumer products. Kimberly-Clark brand name products include Kleenex facial tissue, Kotex feminine hygiene products, Cottonelle, Scott and Andrex toilet paper, Wypall utility wipes, KimWipes scientific cleaning wipes, and Huggies disposable diapers and baby wipes.
Founded in Neenah, Wisconsin, in 1872 and based in Irving, Texas, since 1985, it has approximately 42,000 employees. The British subsidiary holds Royal Warrants from both Queen Elizabeth II and Charles, Prince of Wales. Kimberly-Clark is also listed among the Fortune 500. Subsidiaries under Kimberly-Clark include Kimberly-Clark Professional."
ResMed,RMD,"ResMed is a San Diego, California-based medical equipment company. It primarily provides cloud-connectable medical devices for the treatment of sleep apnea (such as CPAP devices and masks), chronic obstructive pulmonary disease (COPD), and other respiratory conditions. It also provides software to out-of-hospital care agencies to streamline transitions of care into and between these care settings for seniors and their care providers (i.e. home health, hospice, skilled nursing facilities, life plan communities, senior living centers, and private duty).
ResMed employs more than 7,500 employees worldwide as of October 2019. The company operates in more than 120 countries worldwide and has manufacturing facilities in Australia, France, Singapore and the United States. It achieved revenues of US$2.6 billion in fiscal year 2019.."
Biogen,BIIB,"Biogen (previously known as Biogen Idec) is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.

"
United Parcel Service,UPS,"United Parcel Service (UPS) is an American multinational package delivery and supply chain management company.Along with the central package delivery operation, the UPS brand name (in a fashion similar to that of competitor FedEx) is used to denote many of its divisions and subsidiaries, including its cargo airline (UPS Airlines), freight-based trucking operation (UPS Freight, formerly Overnite Transportation), and retail-based packing and shipping centers (The UPS Store), and its delivery drone airline (UPS Flight Forward). The global logistics company is headquartered in the U.S. city of Sandy Springs, Georgia, which is a part of the Greater Atlanta metropolitan area.

"
Keysight Technologies,KEYS,"Keysight Technologies, or Keysight, is an American company that manufactures electronics test and measurement equipment and software.  In 2014, Keysight was spun off from Agilent Technologies, taking with it the product lines focused on electronics and radio, leaving Agilent with the chemical and  bio-analytical products.The name is a blend of key and insight, and was chosen to convey that the company ""unlocks"" ""critical or key insights.""

"
S&P Global,SPGI,"S&P Global Inc. (prior to April 2016 McGraw Hill Financial, Inc., and prior to 2013 McGraw Hill Companies) is an American publicly traded corporation headquartered in Manhattan, New York City. Its primary areas of business are financial information and analytics. It is the parent company of S&P Global Ratings, S&P Global Market Intelligence, and S&P Global Platts, and is the majority owner of the S&P Dow Jones Indices joint venture.
""S&P"" is a shortening of ""Standard and Poor's""."
Colgate Palmolive,CL,"Colgate-Palmolive Company is an American multinational consumer products company focused on the production, distribution and provision of household, health care, and personal care products. Under its ""Hill's Pet Nutrition"" brand, it is also a manufacturer of veterinary products. The company's corporate offices are on Park Avenue in Midtown Manhattan, New York City."
Prudential Financial,PRU,"Prudential Financial, Inc. is an American Fortune Global 500 and Fortune 500 company whose subsidiaries provide insurance, investment management, and other financial products and services to both retail and institutional customers throughout the United States and in over 40 other countries.
Prudential Financial is the largest insurance company in the United States, with total assets amounting to approximately 1.456 trillion U.S. dollars. 
Principal products and services provided include life insurance, annuities, mutual funds, pension- and retirement-related investments, administration and asset management, securities brokerage services. It provides these products and services to individual and institutional customers through distribution networks in the financial services industry. Prudential has operations in the United States, Asia, Europe and Latin America and has organized its principal operations into the Financial Services Businesses and the Closed Block Business.
Prudential is composed of hundreds of subsidiaries and holds more than $4 trillion of life insurance.The company uses the Rock of Gibraltar as its logo."
Clorox,CLX,"The Clorox Company (formerly Clorox Chemical Co.), based in Oakland, California, is an American global manufacturer and marketer of consumer and professional products, with approximately 8,700 employees worldwide, as of June 30, 2018. Net sales in the company's 2019 fiscal year were US$6.2 billion. Clorox ranked #468 on Fortune's 2018 Fortune 500 list.Clorox products are sold primarily through mass merchandisers, retail outlets, e-commerce channels, distributors and medical supply providers. Clorox brands include its namesake bleach and cleaning products, as well as Burt's Bees, Formula 409, Glad, Hidden Valley, Kingsford, Kitchen Bouquet, KC Masterpiece, Liquid-Plumr, Brita (in the Americas), Mistolin, Pine-Sol, Poett, Soy Vay, RenewLife, Rainbow Light, Natural Vitality, Neocell, Tilex, S.O.S., and Fresh Step, Scoop Away and Ever Clean pet products."
3M Co,MMM,"The 3M Company, formerly known as the Minnesota Mining and Manufacturing Company, is an American multinational conglomerate corporation operating in the fields of industry, worker safety, health care, and consumer goods. The company produces over 60,000 products under several world-renowned brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical & electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, Minnesota, a suburb of St. Paul.3M made $32.8 billion in total sales in 2018 and ranks number 95 in the Fortune 500 list of the largest United States corporations by total revenue. As of 2018, the company has approximately 93,500 employees, and has operations in more than 70 countries.

"
UnitedHealth Group,UNH,"UnitedHealth Group Incorporated is an American for-profit managed health care company based in Minnetonka, Minnesota. It offers health care products and insurance services. It is the largest healthcare company in the world by revenue, with 2018 revenue of $226.2 billion and 115 million customers.
The company is ranked 6th on the 2019 Fortune 500."
Agilent Technologies,A,"Agilent Technologies, Inc. is an American public research, development and manufacturing company established in 1999 as a spin-off from Hewlett-Packard.  The resulting IPO of Agilent stock was the largest in the history of Silicon Valley at the time.The company provides analytical instruments, software, services and consumables for the entire laboratory workflow.  Agilent focuses its products and services on six markets: food, environmental and forensics, pharmaceutical, diagnostics, chemical and energy, and research. From 1999 to 2014, the company also produced test and measurement equipment for electronics; that division was spun off to form Keysight."
salesforce.com,CRM,"Salesforce.com, Inc. (usually abbreviated as SF or SFDC for Salesforce dot com) is an American cloud-based software company headquartered in San Francisco, California. Though the bulk of its revenue comes from its customer-relationship management (CRM) service, Salesforce also sells a complementary suite of enterprise applications focused on customer service, marketing automation, analytics and application development.
Salesforce was ranked first in Fortune's 100 Best Companies to Work For in 2018 and second in 2019."
Amazon,AMZN,
Exelon Corp,EXC,"Exelon Corporation is an American Fortune 100 energy company headquartered in Chicago, Illinois. It generates revenues of approximately $33.5 billion and employs approximately 33,400 people. Exelon is the largest electric parent company in the United States by revenue, the largest regulated utility in the United States with approximately 10 million customers, and also the largest operator of nuclear power plants in the United States. It was created in October 2000 by the merger of PECO Energy Company of Philadelphia and Unicom Corp of Chicago, which owned Commonwealth Edison. Exelon is incorporated in Illinois. Exelon operates regulated utilities in Illinois, Pennsylvania, Maryland, Delaware, New Jersey, and Washington, DC. In October 2009, Exelon had full or majority ownership of 23 nuclear reactors in 14 nuclear power plants. Exelon has operations and business activities in 48 states, the District of Columbia and Canada, and is the largest competitive U.S. power generator with approximately 35,500 megawatts of owned capacity.  Exelon merged with Constellation Energy Group in March 2012 and acquired Pepco Holdings in March 2016. Exelon consists of eight main operating subsidiaries with Exelon Generation, a deregulated energy generator, Constellation Energy Group, a deregulated competitive energy supplier, and six regulated utilities, Commonwealth Edison (Illinois), PECO Energy Company (Pennsylvania), Baltimore Gas and Electric (Maryland), Delmarva Power & Light (Delaware and Maryland), Atlantic City Electric (New Jersey), and Potomac Electric Power Company (Washington, DC and Maryland)."
Varian Medical Systems,VAR,"Varian Medical Systems (VAR) of Palo Alto, California, USA, is a radiation oncology treatments and software maker. Their medical devices include linear accelerators and software for treating cancer and other medical conditions with radiotherapy, radiosurgery, proton therapy, and brachytherapy.  The company supplies software for managing cancer clinics, radiotherapy centers, and medical oncology practices. Varian is a supplier of tubes and digital detectors for X-ray imaging in medical diagnostics, dentistry, veterinary care, scientific, security, industrial inspection including high-energy X-ray technology for cargo screening. Varian Medical Systems employs more than 7,100 people  at manufacturing sites in North America, Europe, and China and approximately 70 sites globally."
Merck & Co,MRK,"Merck & Co., Inc., d.b.a. Merck Sharp & Dohme (MSD) outside the United States and Canada, is an American multinational pharmaceutical company and one of the largest pharmaceutical companies in the world. Merck is incorporated in New Jersey. The company was established in 1891 as the United States subsidiary of the German company Merck, which was founded in 1668 by the Merck family. Merck & Co. was expropriated by the US government during World War I and subsequently established as an independent American company in 1917. While it operates as Merck & Co. in the United States and Canada, the original Merck based in Darmstadt holds the rights to the Merck name everywhere else. Merck & Co. is the world's seventh largest pharmaceutical company by market capitalization and revenue. Its headquarters is located in Kenilworth, New Jersey. The company ranked No. 78 in the 2018 Fortune 500 list of the largest United States corporations by total revenue.Merck & Co. publishes The Merck Manuals, a series of medical reference books for physicians, nurses, technicians, and veterinarians. These include the Merck Manual of Diagnosis and Therapy, the world's best-selling medical reference. The Merck Index, a compendium of chemical compounds, was formerly published by Merck & Co. before being acquired by the Royal Society of Chemistry in 2012."
Cigna Corp,CI,"Cigna is an American worldwide health services organization based in suburban Bloomfield, Connecticut and Philadelphia, Pennsylvania. Its insurance subsidiaries are major providers of medical, dental, disability, life and accident insurance and related products and services, the majority of which are offered through employers and other groups (e.g. governmental and non-governmental organizations, unions and associations). Cigna is incorporated in Connecticut.Cigna offers Medicare and Medicaid products and health, life and accident insurance coverages primarily to individuals in the U.S. and selected international markets. In addition to its ongoing operations described above, Cigna also has certain run-off operations, including a Run-off Reinsurance segment. In the Phoenix metropolitan area, Cigna runs a full-service staff-model HMO (health maintenance organization) with satellite clinics throughout the region, known as the Cigna Medical Group.Cigna Global Health Benefits also operates under the Cigna corporation. Cigna’s motto is 'Together, all the way.' The company ranked No. 73 in the 2018 Fortune 500 list of the largest United States corporations by total revenue.On March 7, 2018, it was announced that Cigna would buy Express Scripts in a $67 billion deal and on August 24, 2018, the shareholders of Cigna and Express Scripts approved the deal."
Facebook,FB,"Facebook, Inc. is an American online social media and social networking service company based in Menlo Park, California. It was founded by Mark Zuckerberg, along with fellow Harvard College students and roommates Eduardo Saverin, Andrew McCollum, Dustin Moskovitz and Chris Hughes. It is considered one of the Big Four technology companies along with Amazon, Apple, and Google.The founders initially limited the website's membership to Harvard students and subsequently Columbia, Stanford, and Yale students. Membership was eventually expanded to the remaining Ivy League schools, MIT, and higher education institutions in the Boston area, then various other universities, and lastly high school students. Since 2006, anyone who claims to be at least 13 years old has been allowed to become a registered user of Facebook, though this may vary depending on local laws. The name comes from the face book directories often given to American university students. Facebook held its initial public offering (IPO) in February 2012, valuing the company at $104 billion, the largest valuation to date for a newly listed public company. Facebook makes most of its revenue from advertisements that appear onscreen and in users' News Feeds.
The Facebook service can be accessed from devices with Internet connectivity, such as personal computers, tablets and smartphones. After registering, users can create a customized profile revealing information about themselves. They can post text, photos and multimedia which is shared with any other users that have agreed to be their ""friend"", or, with a different privacy setting, with any reader. Users can also use various embedded apps, join common-interest groups, and receive notifications of their friends' activities. Facebook claimed that had more than 2.3 billion monthly active users as of December 2018. However, it faces a big problem of fake accounts. It caught 3 billion fake accounts in the last quarter of 2018 and the first quarter of 2019. Many critics questioned whether Facebook knows how many actual users it has. Facebook is one of the world's most valuable companies.
It receives prominent media coverage, including many controversies. These often involve user privacy (as with the Cambridge Analytica data scandal), political manipulation (as with the 2016 U.S. elections), psychological effects such as addiction and low self-esteem, and content that some users find objectionable, including fake news, conspiracy theories, and copyright infringement. Facebook also does not remove false information from its pages, which brings continuous controversies. Commentators have stated that Facebook helps to spread false information and fake news. Facebook has exempted political advertisements from their ban on making false claims.Facebook offers other products and services. It acquired Instagram, WhatsApp, Oculus, and GrokStyle and independently developed Facebook Messenger, Facebook Watch, and Facebook Portal."
Owens Corning,OC,"Owens Corning is a global company that develops and produces insulation, roofing, and fiberglass composites. It was formed in 1935 as a partnership between two major American glassworks, Corning Glass Works and Owens-Illinois. The company employs approximately 19,000 people around the world. Owens Corning has been a Fortune 500 company every year since the list was created in 1955. The Pink Panther appears in most of the company’s advertisements."
